reviewer,review
Ronny Acosta,"I bought this in hopes it would help prevent sweat getting in my mask and me having to constantly change it. Not only does it work but I use less masks because of this fan. While there are times I have to run around, this mask fan not only helps my face dry inside of the mask but feels as though I'm getting fresh air without sounding winded all of the time. The fan itself clips onto all sorts of masks that I've had to wear. I've used this with fabric, surgical, KN95 and N95 masks. Not only does this fan stay clipped on but it has not pulled my mask down. The fan itself is fully rechargeable and on a single charge, I've been able to use it for at least 2-3 days before having to charge it again. There have been a few times I was able to go 4-5 days without charging it but it does depend on how much use it gets. Really does come in hand and not only helps keep my face from sweating too much but really helps with giving me that ""fresh air"" feeling."
Outdoor Enthusiast,"I bought this primarily for use as a protective, insulated carry case for the Goal Zero Yeti 500x (equivalent as the Yeti 400). It fits the battery power station PERFECTLY. Insulation looks good, material feels great (except the shoulder strap). Folds very compact."
Ronny Acosta,"I bought this so I could have a hot meal at lunch since our work microwave is disgusting, plus it always smells weird. I bought this so I wouldn't have to worry about rushing home to enjoy a hot or warm meal. Not only has this been great but it actually works. So you're given 2 choices when it comes to using this lunch box. One, you can either plug this into your car which makes it great when you're out somewhere and cannot find a plug or use when camping. The other way is plugging it into an outlet. Since I use this at work, I primarily plug this into an outlet and found that it warms up my food a lot faster than when I use it in my car. What I love about this is, unlike when I microwave my food, my food doesn't come out dried out or tough. I get a fully warmed up meal that tastes as if I reheated it in the oven. Depending on what I have, is what determines how long I have this plugged in. If I want to reheat a piece of chicken breast, if its not cut, it will take longer to reheat when the breast is cut into pieces. Pastas never seem to take long either. When it comes to cleaning, the dishes are dishwasher safe too. The lunch box itself, I just wipe down. The utensils are definitely a bonus and are dishwasher safe too."
Ronny Acosta,"I bought this to hang on a tree near my garden and I absolutely love how it looks. I am keeping it out there until winter gets here but when the sun hits it, the colors just look so vibrant. Not to mention, with the wind or breeze that we've been getting, it spins around and just looks mesmerizing. When it arrived, it came as a flat disc. All I had to do was spread it out and hang it up. While this did come with a hook, where I have it hanging, the hook was not big enough to fit around the branch. However, I was able to hang this with some heavy wire and it works just as great. This looks way better in person than it does online and when it spins, is really does look great. Even with the heavy wind storm that we had recently, I thought for sure it was going to either fly away or break. However, when I checked on it, this was still hanging on my tree just spinning away. I found that I am able to easily clean it since the wind storm caused this to get really dirty. All I do is just hand wash it with a little dish soap and water and just hang it back outside to dry. Absolutely love how this looks and even tested this on my patio and looks great there too."
Ronny Acosta,"I bought this to help replace some old knives and to use in my trailer. Not only are they perfect and actually fit in my knife block but they are sharp. The knives themselves have a really comfortable grip on them and really do fit inside of my hand. The bigger knife seems to cut through any time of meat as if it was butter. I have not had any issues cutting through some of the toughest meat or felt as though I was sawing through it. The next knife cuts through meat too but found that with the divots, it also helps when it comes to cutting through more solids like cold butter, bricks of cheese and a lot of fruits and vegetables. The smaller knife really has come in handy for practically anything. Overall, great filler for replacing old knives. Super sharp and really easy to hold."
Ronny Acosta,"I bought this to help some of my smaller/baby plants that were starting to die due to the cold, lack of sun and really because I don't have time to take care of them like I could. With this growing kit, I not only was able to bring one of my plants back to life, but I was able to transfer it from this growing system to an actual pot and leave it outside. This growing kit comes with everything to help keep them fed, but the extra vitamins to help nourish them and help them grow bigger. While I still have 2 plants in this, setting this up was really easy to do. The instructions were really clear, but I have used one of these previously so I had an idea of what I was doing. What I love is that I don't have to have this in a certain amount of light because this has a light that is not only the perfect temperature but doesn't damage the leaves. The light is fully adjustable and the top can be lifted higher or lower if need be. No leaking and such a great setup, especially if you're like me and don't have a lot of time to take care of my plants."
Ronny Acosta,"I bought this to help with all of the baking I am having to do but with my old mixer dying on me, this was really put to the test. Not only did have to have bake all sorts of breads and desserts but I was even able to have this help me make some tamales and even some dips. What I love about this mixer is it's so much bigger than my name brand mixer. Not to mention, it mixes a lot faster and is so much more sturdier. The bonus for me was not only did it come with extra attachments but the cover on this prevented anything from splashing out from the top. Since getting this, I have been using it nonstop practically and not only is it getting the jobs done, but it's holding up a lot better than my old mixer. I've been making all sorts of dough, crusts, pie fillings, homemade whipped toppings and even was able to try and make marshmallows. So easy to use and it's easy to clean too. This has definitely replaced all of my mixers, stand and hand."
Ronny Acosta,"I bought this to not only use inside but mainly to use when I'm cooking on my flat top grill. Not only does it work great but there is so much space inside. I included a video and some pictures of what it looks like on my flat top. I have a 3 burner flat top and this doesn't take up too much space, roughly about half depending on which burner or burners I'm using. When it comes to using, before I cover my food, I squirt a little water underneath and cover it with this dome. While I can see a little steam come out from underneath, majority of it stays inside of the dome and melts the cheese perfectly. The handle on this is really convenient as it completely covers any metal exposed and while it can get warm, it's not too hot that it burns when I grab it bare handed. When it comes to cleaning, just hand wash this and done. Really works great on my flat top and even on my pans I use on my stove inside of my house. I even used this on my griddle for in home and during camping and works great on that too."
Ronny Acosta,"I bought this to replace an expensive name brand that would not only create a bigger mess than I would like but didn't work like it used to. I spent a lot of money to have someone take it apart and clean the parts on the inside but even then, it still didn't work that great. I bought this and not only is it so much easier to use but when I tilt the head of this mixer, I'm actually able to remove the bowl without the top being in the way. The lid on this that covers the mixing bowl really does prevent any mess from coming out from the top. Whether I'm mixing in wet ingredients into dry or vice versa, whether I have this mixer on low or high there is no mess. Usually I have a big mess when making homemade whip cream but no more mess. The bottom of this mixer actually has suction cups that stick to my counters and prevents this mixer from moving around, especially when I have this on a higher setting. The other thing I love about this mixer is it came with 3 different attachments and was really convenient. The bowl on this mixer is more than big enough to mix or make whatever I want. Since the holidays are getting closer, I've been using this a lot more lately and I love this mixer. Can make practically anything without causing a mess or worrying about this mixer tipping over or moving when on high. The bowl and attachments are dishwasher safe too."
Ronny Acosta,"I bought this to replace an old chair at work that had absolutely no lumbar support and was so hard to adjust. Not to mention, would fall after sitting down for at least 5-10 minutes. While I was very hesitant about this chair, after putting it together, I tested it out. After sitting down for about 15 minutes, it never once fell. I then decided to use the leg rest and not only is it really comfortable, I have found that it's makes a great way to take a nap during a break. The lumbar support in this chair is not only great for my back, but provides just enough support that while I'm sitting down, I'm not having to constantly stretch my back. Not to mention, even when I completely recline this chair, it still offers me the great lumbar support as it does while I'm sitting down. Putting it together was a bit of a pain, but I'm working in kind of a small work space so that was my issue. The instructions it came with were really easy to follow and even though I had a couple of screws left over, I had no missing parts. Even while I recline, I don't find myself feeling as though I'm going to fall completely backwards. Really comfortable chair and great all over support. Not to mention, easy to adjust too."
Ronny Acosta,"I bought this to replace what I thought was a good projector but when compared to this one, that one is just basic. The picture quality on this projector is not only crystal clear but there are no grainy pictures. Whether we play this on an actual projector screen or a sheet, the picture quality is almost as if we were watching our expensive 4K TV. Setting this up was easy but with this one, it actually connects to our phones and speakers. When connecting this to play what is on our phone, tablets or really any other device, we can either connect this directly to our devices or we connect the projector to our wifi which then allows us to steam shows and movies as if we were watching our smart TV. This does come with a case to keep this projector safe and protected. Great for at home, family get togethers or even while out camping. Completely portable but does require an outlet but can say that we used a portable powerbank that has outlets and we were able to use this projector on it."
Ronny Acosta,"I bought this to use as a travel sleeping mask and when this advertises that it blocks out the light, it really does block out the light. The cutouts on this mask really help prevent the mask from putting any pressure on my eyeballs themselves. The strap that goes behind my head is fully adjustable and no matter how much I move around, it doesn't adjust or slip off of my head. The mask itself is really comfortable to wear too. I wasn't sure if the cutouts were going to bother me but they are not only comfortable but that is what helps prevent any sort of light from coming in. Even if I open my eyes with the mask on, I'm able to actually do that and I see no lights at all. Easy to wash and hang dry."
Ronny Acosta,"I bought this with intentions of saving this for Christmas but as soon as it arrived, I wanted to test this out. Not only is it a lot of fun, but I ended up giving it to my kid early because it was so easy and fun to use. My kid is 6 and is obsessed with dinosaurs. When it came to showing them how to use it, they kind of figured it out on their own. This is mainly in part of the remote that it comes with. Instead of just blank buttons, each button is labeled with everything it does. The dinosaur scream really does sound like a dinosaur scream/roar rather than a squeak or something that is supposed to sound like a dinosaur. The movements and tail moving is what we thought was really cool. We have tile and wood floors but have a few low rugs in our living area and it was able to walk from floor to rug and back to the floor without tipping over. The remote control does require 2 AAA batteries that it did not come with but we got this last month and it still has the same batteries I put in the remote the first day. Charging this dinosaur does take between 3-4 hours and it does last between 45 minutes to about just over an hour of play time but this does depend on how much play it gets at a time. Overall, great toy and so much fun to play with."
Outdoor Enthusiast,"I cut these to close up the holes in the attic after a bird decided to start building a nest under the roof. Used regular scissors to cut these to size (2"" larger than the opening on all sides) and then secured with a staple gun. Be careful though: they are pretty sharp."
Ronny Acosta,"I didn't think these were going to taste that great as I've purchased something similar and they tasted horrible. However, these taste similar to the peach ring candies, but are not as sugary. I bought these for me as I take enough pills, I thought I'd try gummies and these are great. My magnesium levels were a bit low and after taking these for about a month, I went back and just did my blood work. My results were just sent to me today and not only did they increase but they're back to normal levels. I have also added a healthier diet. The other thing I'm impressed with these gummies is that they don't upset my stomach unlike some vitamins will. I can get back acid reflux if I take too many vitamins and since taking these, no upset stomach or acid indigestion. I do keep these in an area that doesn't get humid or too warm and found that they don't stick to each other either. Great taste and don't hurt my stomach."
Ronny Acosta,"I didn't think this was going to fit inside of my CD slot but it did. I then was afraid that it was going to come out or fall out as soon as I put my phone in the holder or even fall when I hit a bump. This has not happened for either one. Now that the weather has gotten cooler, I was then able to switch out the backing and put this on my vent. The clip on this is very strong on my vent too. Even after putting my in the holder, it doesn't cause my vent to close. No matter how many bumps I hit or speed bumps, my phone stays in the phone holder. Even with my new battery case that can cause my phone to be a little extra bulky, my phone still stays locked into this phone holder. Strong hold with or without a case. Not to mention, the opening on the bottom still allows me to charge my phone still."
Outdoor Enthusiast,"I do a lot of DIY work, and cutting through drywall is (unfortunately) something I have to do often. Whether fixing plumbing, adding and rerouting electricals or network cables, or what not -- drywall is everywhere. Cutting into drywall is easy, but having it done nicely can help patching it up later much easier. That's where these drywall blades come in with their pointed tip for easier penetration, then cut through. I usually only cut at a 45-degree, inward angle along 3 of the 4 sides. This allows me to lift up the remaining, attached side (like an Advent calendar) to do work, then I can simply close the drywall and patch up with just a couple screws. The blade itself is quite sharp and feels hefty. Its grip feels decent and it balances well in my hand. At $10, it's a good buy."
Ronny Acosta,"I don't have a lot of space in my garage for my outdoor pantry, but this shelf not only fits but is the perfect size. Prior to ordering, I did check the measurements and it fits perfectly in the open space that I have. When it came to installing, the instructions were really clear on how to put this together. The bottom feet are fully adjustable which is great because where I have it, the concrete is not completely level. However, with being able to put a couple of the feet out a little more than the others, this helps keep the shelf completely steady and it doesn't move at all. Even when I was putting stuff on it and adjusting things, this shelf did not move or wobble anytime I touched it. Since it is wired, I was able to put S hooks on this and even hang things on the sides of this shelf. I have things like boxes of pasta and even heavier items on the bottom like extra bottles of detergent. No matter if the items are light or heavy, this shelf holds it all. No bending or wires popping off from their welds either. Perfectly sturdy and holds so much stuff."
Outdoor Enthusiast,"I felt really bad for the seller. First, customer service was excellent. With that said, here is what happened: First order arrived with lid having come off. Content was all over the bubble mailer. I contacted the seller and he promptly shipped me a replacement that arrived in 2 days. Second order arrived with lid loose. Liquid had spilled out, but the content was still intact. Since my wife did not trust opened containers due to concerns for food poisoning, I contacted the seller again. He promptly shipped another replacement that arrive din 2 days. Third jar finally arrived in great condition. Note that all 3 shipments were handled by Amazon. I gave the seller two suggestions: ask Amazon to ship in different packaging or find a better way to secure your own product, such as taping the lid shut. Taste-wise, there is not much truffle mixed in. I expected that considering the price of the product. But, it does taste pretty good. I added it to some steamed meat dishes and it tasted just like the truffle version we had at a Chinese restaurant. Does it taste as good as pure truffle? Of course not, but it's a decent enough taste. Good seller customer service, but poor shipping/packaging."
Outdoor Enthusiast,"I felt really bad for the seller. First, customer service was excellent. With that said, here is what happened: First order arrived with lid having come off. Content was all over the bubble mailer. I contacted the seller and he promptly shipped me a replacement that arrived in 2 days. Second order arrived with lid loose. Liquid had spilled out, but the content was still intact. Since my wife did not trust opened containers due to concerns for food poisoning, I contacted the seller again. He promptly shipped another replacement that arrive din 2 days. Third jar finally arrived in great condition. Note that all 3 shipments were handled by Amazon. I gave the seller two suggestions: ask Amazon to ship in different packaging or find a better way to secure your own product, such as taping the lid shut. Taste-wise, there is not much truffle mixed in. I expected that considering the price of the product. But, it does taste pretty good. I added it to some steamed meat dishes and it tasted just like the truffle version we had at a Chinese restaurant. Does it taste as good as pure truffle? Of course not, but it's a decent enough taste. Good seller customer service, but poor shipping/packaging."
Outdoor Enthusiast,"I got myself this set as a spare for our vacation home so I would not have to haul my Makita over for any repairs. It is small. Has a built-in light. Torque is pretty good, but nearly not as strong as my much-pricier Makita. A variety of drill bits are included as well as a flexible adapter to allow you creatively bend and screw things in or out. A generously sized bag is also included.It is small. Has a built-in light. Battery is small and I won't expect for it to last for larger jobs, but it works. Battery must be removed for charging. At less than $50, this tool does present itself with great value."
Outdoor Enthusiast,"I got this as a backup fin for my inflatable stand up paddle boards (iSUP). Its 9"" size is what came with the iSUPs. Tested it on 3 different brands: DvSport, Runwave, and Abysup. They all fit."
Outdoor Enthusiast,"I got this to power up two, 12V cigarette port appliances while out camping. Previously, I used a 12V and a 110V AC one, but as you may or may not know, using the AC one will waste an additional 7W of energy that the DC-to-AC inverter requires. So, using two 12V DCs is more efficient use of the battery. This worked well with my Jackery, Rockpals, and GoalZero power stations and powered a few car freezers Foho, Costway, and Donmende."
Ronny Acosta,"I got tired of using boxes and whatever else I could find to rest my feet on and decided to buy a foot rest. What I love about this one is it's so easy to adjust. In the back, I'm able to adjust the height and unlike my old one, it stays at the height I want it to. If I take my shoes off, there are the beads in the middle that give me a little massage when I move my foot up and down on them. I didn't think it would make a difference but they actually do. The other thing I love about this foot rest is that it moves back and forth so I'm still able to get some motion in my legs while I'm sitting at my desk. Since using this, I'm noticing that I'm not having as many back problems as I was before when I would sit for long periods at my desk. Really easy to setup and such a life saver for my back, legs and feet."
Outdoor Enthusiast,"I grew some in a greenhouse in California to see how they would be like. It actually is too late in the season to start, but I was curious for the sake of having something to try before writing up a review. I got about an 80% germination rate with just a few seeds placed into soil that kept at about 84F. After the usual growing time (2-3 months), I tasted the Black Krim variety that was VERY delicious. The California sun did it well! The Cherry ones grew well, too, but did not produce much. I look forward to growing the rest of the seeds come Spring next year. Fun fact: not all varieties will grow well. So, this variety pack will help you figure out which ones work best for your area so you can buy more of those."
Ronny Acosta,"I had an existing fixture in our guest room and I wanted something relaxing and almost beachy looking to go along with my decorations and this light is perfect. When it came to installing, everything that came with this light was enough for me to change out the light. The light itself allowed me to use any light bulb that I want to use. The cover on this is made of thick rattan and found that when it came to cleaning, I just use a dry duster. In the instructions it did state not to keep in humid or high light areas and luckily in my guest room, I don't have any of those. I have now had this light up for almost 2 months and it still looks new. Love the relaxing look of this light and love how easy it was to install."
Ronny Acosta,"I had been looking for a simple pine garland to replace some old stuff on my wreath and this is perfect. The garland itself is really easy to use and bends to any shape or way I wanted. What I love is that the pine cones and berries that are attached do not break or fall off easily. Even with using a hot glue gun to hold them in place, they're still attached and didn't fall as soon as the hot glue came into contact with the stems. The lights on this garland really do add that extra something that I was wanting on my wreath. The lights are battery powered but once they're on, they don't kill batteries that fast. Even with using a hot glue gun on the plastic that houses the batteries, the case is very heavy duty and didn't melt. I can definitely see ordering this again if I need more decoration on my fire mantle but as for now, it looks great on my wreath. The best part is that none of the pine needles shed or break off if they're touched. Really easy to manipulate and move around without anything breaking or the garland itself falling apart."
Outdoor Enthusiast,"I had been trying to get my 5-year-old son to learn to swim, and for a while he seemed to make good progress until a few months before COVID-19 hit. He suddenly freaked out about going to swimming lessons and he reverted to not wanting to try. Since then, I had him join me on stand up paddle boarding outings every weekend or so since last year, and to my surprise, he had been watching me teach others how to paddle. He warmed up to my encouragements to try paddling himself and he did very well. But... He still refused to jump into the water. And he was cold after each trip. Got him this wetsuit. I did not want to give him a full-bodied one as in California, it rarely is needed for most of the year. Kept him warm, and he was finally ready to get into the water and he LOVED it. Excellent! He had been swimming in the bay with his life vest, paddled on my iSUP for the last two weekends (with a rope I had tied to it so he could be pulled back when he went too far). This wet suit (or any brand, most likely) gave my son the courage and joy to go swim, and hopefully, that will continue translating into having him want to learn to take swim lessons again. Next step: having him be more willing to submerge his head in the water. He still refuses usually, but when I tell him that he won't be able to go iSUP with me again if he doesn't practice it, he tries it for a couple seconds. Baby steps."
Outdoor Enthusiast,"I had been trying to get my 5-year-old son to learn to swim, and for a while he seemed to make good progress until a few months before COVID-19 hit. He suddenly freaked out about going to swimming lessons and he reverted to not wanting to try. Since then, I had him join me on stand up paddle boarding outings every weekend or so since last year, and to my surprise, he had been watching me teach others how to paddle. He warmed up to my encouragements to try paddling himself and he did very well. But... He still refused to jump into the water. And he was cold after each trip. Got him this wetsuit. I did not want to give him a full-bodied one as in California, it rarely is needed for most of the year. Kept him warm, and he was finally ready to get into the water and he LOVED it. Excellent! He had been swimming in the bay with his life vest, paddled on my iSUP for the last two weekends (with a rope I had tied to it so he could be pulled back when he went too far). This wet suit (or any brand, most likely) gave my son the courage and joy to go swim, and hopefully, that will continue translating into having him want to learn to take swim lessons again. Next step: having him be more willing to submerge his head in the water. He still refuses usually, but when I tell him that he won't be able to go iSUP with me again if he doesn't practice it, he tries it for a couple seconds. Baby steps."
Ronny Acosta,"I had done research on alarm clocks that turn on a light and also does make noise and found that this not only slowly wakes me up but doesn't scare me like my other alarm does. Since getting this alarm, I've hit snooze less and less when compared to my other alarm that I have. The light on this starts off low and then increasingly gets brighter. The other thing I love about this alarm is it also plays the radio. It has a lot of different features but rather than making a noise when waking me up, I can either have it with a light or not, wake up to an alarm noise or the radio. Not to mention, I can also use this as a night light if I want to. Thought I was getting a simple alarm but found I got so much more."
Ronny Acosta,"I had previously purchased a light up gnome and wanted another one to go next to it. While the other one does have lights, it's not as bright as this one. Not to mention, the light on this gives off a pretty blue hue that not only adds color to my small walkway garden but actually lights up the area so much better than my other one. What I love about this garden gnome is I don't need to have this plugged in or worry about batteries as its all rechargeable by a solar panel. The gnome is just the perfect size for my small walkway garden that I have near my front door. Even with the sprinklers that I have nearby, this gnome does get wet a good amount of times but this gnome still lights up every night. The other great thing about this gnome is even with being in the sun, the paint on this still has not faded."
Outdoor Enthusiast,"I had previously reviewed Campingmoon's foldable fire pit and grill and was impressed by its quality compared to 2 other ones I had tested. What impressed me was the material and build quality thinking that it came from a Chinese brand -- and as many of you perhaps know, China has the stigma of producing subpar products. Not Campingmoon. The fire pit manual came in both Chinese and Japanese, and so I thought it might actually be a Japanese brand. Japan is, in contrast to China, known for quality. Turns out, Campingmoon actually is a Chinese company with products sold in the Chinese, Japanese, and Korean markets. I also saw that there was an increasing following in Thailand, and as you can see with this product on Amazon, it also appears to try to make inroads into the US market. So, how does this grill table fare? Not surprisingly, very well! Material is sturdy, strong, and looks like it could last. It is not flimsy at all. Legs fold and the grills are vertically stackable, though you should do that BEFORE you put them into the fire. With some additional oil seasoning, food did not stick if you control the cooking temperature properly, and I appreciated the fact that they each can also be used as side tables while cooking. For instance, I could start cutting up veggies and prepare meats, then simply place the grill over my fire pit and be ready to let it sizzle. When done, I simply fished it back out with heatproof gloves and ate right from it, though I suggest you remove the cooked food and wipe down the grill while it is still warm/semi-hot so food would come off easier for less cleaning. The spaced side rails allow for utensils and cookware to be hung off. Nice touch. I also use one of the grills over my propane fire pit to prop up a kettle or pot to boil or heat up over the fire. The grills fold up flat and fit into the sturdy carry bag. I do place the cooled grills into a plastic bag first so to keep dirt away from the carry bag. Nicely done, Campingmoon."
Ronny Acosta,"I had purchase the name brand of these and they were absolutely awful. We had some balloons that didn't even inflate and some that exploded as soon as they dropped into a pool full of water. With these balloons, not only do you get so much more but they actually work. We installed each piece onto our water hose. We didn't turn it up high but just enough to fill the balloons fairly fast. Again, we had a small inflatable pool full of water and once the balloons were full, they practically dropped on their own. Once they hit the water, not only did they not explode but they kept their size with no issues. Once we were done filling all of these, really fast, we had so much fun. The quality of the balloons were so much better and once they hit the grass, concrete or a person, that is when they exploded. While there was a small balloon mess afterwards, these are so much easier to do rather than doing balloons by hand. Not only do they fill up fast but once their full, they will drop on their own. If now, after a small jerk of the hose, they dropped off the stem. These are so much fun and definitely will be ordering these again when the weather is warmer."
Ronny Acosta,"I had purchased another lash wash that not only burned my eyelids but ended up leaving my eyes, eyelids and even underneath red for a few days afterwards. With this wash, I did not experience that at all. Not to mention, while it has a nice clean scent, it doesn't have an overly perfume smell to it. It not only cleans my lash extensions gently, but it doesn't tear them out when I scrub them with the wash brush during cleaning. The wand that this comes with not only helps me with separating them, but helps me brush them out so the look more natural. I don't need a lot of this wash during and while I do clean them every 1-2 days, I still have some of this wash still."
Ronny Acosta,"I had purchased something similar to this and it didn't really spin. However, this one really does spin. Whether empty or really full, this thing will spin no matter what. I originally purchased this set for makeup but turns out it works extremely better for my seasonings that I use all of the time. I have this in a cabinet but found when I'm cooking, I can easily pull this out and move this around to get what I need. Even if I don't pull it out, I'm able to spin it around and grab what I want. What I love about this is that no matter what I put on this, nothing spills out while I'm spinning this around. Not to mention, it hardly takes up any space inside of my cabinet. The other cool thing is that it does come with dividers but if you don't want to use them, you don't have to install them. I chose not to but I was able to keep them for the just in case. Plus if something spills, I'm able to hand wash these with no problems."
Ronny Acosta,"I had seen a similar mask on social media and thought it would be perfect for Halloween. Not only is it surprisingly comfortable to wear but it is really cool. I thought I was going to have issues seeing out of this, especially while it's on but I have not had any issues with it at all. Even with the lights going on, it doesn't effect being able to see through this mask and I was able to walk around without tripping on anything. The remote that comes with this is really easy to use and love that it's a wristband that can be worn. Found that this makes it easier when it comes to changing the different faces. The mask is fully adjustable and can be worn by kids or adults. I did include a video of some of the faces that this mask makes. Really a lot of fun to wear and was even able to test this out and scare some family members."
Ronny Acosta,"I have 2 little ones who love unicorns, but even with just having the 1, they share this between each other. However, I am getting ready to order another one after posting this. This headlamp is fully adjustable no matter the head size. I was even able to adjust this and wear this on my head with no issues. To turn this on, just push the ""horn"" of the unicorn. As soon as you push it once, it turns on to a solid bright white light that comes out through the eyeballs. If you press it again, the lights are still white but now flashing. If pressed for a third time, the lights still flash but they're multi colored. When pressed for the fourth time, the lights completely turn off. My kids did wish that these would be a solid multi-color but they still like the light. This does take batteries and while we have had to change them once, we use rechargeable batteries that seem to work with this headlamp. You can choose to either have music or sounds with this or turn it off. Can be used for toddlers, kids, teenagers and adults."
Ronny Acosta,"I have a case on my phone and I was able to use this ring on it without it causing any issues with being on my case or with the ring itself. I did have to thoroughly clean my case before placing this on and once it's stuck on there, it's stuck. What I love about this ring is that if I lift it once, I'm able to hold my phone. I'm also able to have this stand up on it's own. Even with the weight of my phone, it does not start to fall or even slowly start to close. Even when it's all the way open and standing, again with the weight of my phone, this stand will not close or slowly start to fall. Even with this being as stiff as it is, even after using since I've gotten this almost 2 months ago, it is still holding my phone up. Doesn't seem to add any weight to my phone and doesn't get in the way when I'm using my phone either. Whether you use this on your phone directly or on a case, this ring really does help."
Ronny Acosta,"I have a chihuahua and a pug that both bite and fight when it comes to cutting their nails and trimming the fur in between their toes. However with this hammock, I no longer have to get a towel or blanket and fight with them. The only issue I had was finding somewhere to hang this but luckily we have a swing set that has a pole wide enough that this fits on. Once inside, they are limited to how much they can move. While they can still kind of move their paws, I'm still able to sit down and trim each one without having to break a sweat. The S hooks that this came with work for our small chihuahua but we ended up buying thicker ones for our pug as he's a little heavier. This can collect fur, especially if we cut their nails before a bath, but we found that we can either clean it out with a lint roller or just throw it in the washer. At first I thought this was going to hurt either one of them but it really doesn't. Makes it so much easier and less fighting when it comes to trimming which means less risk of hurting them accidentally."
Outdoor Enthusiast,"I have a device that allows you to copy one hard drive to another, accommodating both 2.5"" and 3.5"" drives. They are bulky, but can be used to clone drives without the need for a computer. 
This one here is much more portable, though it can only be used to read from or write to one drive. You need to hook it up to a computer to be able to read or write a drive. It's an inexpensive accessory. No driver installation was needed with both Windows 10 and OS X. Performance was within USB 3.0 parameters and achieved pretty good performance -- if your computer, OS, firmware, and driver support UASP. UASP is built into Windows 10."
Ronny Acosta,"I have a few pairs of Crocs and then some clogs that look like Crocs but have similar holes on the tops and these fit with no issues with the Crocs and non-Croc shoes. This set did come with 2 bracelets that I gave to my kids so they could use the charms on their bracelets but we were able to use these on all of our Crocs and non-Crocs. The tabs on the back can be easily inserted into the holes of the shoes and when they need to be or if we want to change them, we just push them out with no issues. When it comes to using these on the bracelets, we just pull one side and we can pop them out with no problems. We recently even purchased the Croc flip flops and we were even able to use these shoe charms on the sandals. Even if they get dirty, we just put them in the sink and just hand wash them. Once dried, we just put them back on our shoes. Great quality and they don't come off easily either."
Ronny Acosta,"I have a kid who loves taking and putting things back together, not to mention loves any sort of STEM type of toys and these dinosaurs are just perfect. For one, my kid loves dinosaurs and especially dinosaur toys. But more, they love STEM toys that allows them to put things together and take them apart. The great thing about these dinosaur toys is no matter how much they pull them apart and put them back together again, they have not warn down at all. Not to mention, the tabs that are on the inside of these toys have not broken off or do they break off easily. The quality of the material and paint on these is a lot better than most toys I've purchased. They are even safe when it comes to bath time."
Outdoor Enthusiast,"I have a large hand pump that does not fit into my backpack when out biking, but I hate bringing those smaller hand pumps that attach to the bike. They take forever to pump. This foot pump strikes a good compromise -- inflates VERY quickly (because of its 2 cylinders) and is small enough to pack away. The nozzle attachments are attached to keep them from getting lost easily. Pressure matched with another gauge. So, it's reasonably accurate."
Ronny Acosta,"I have a Lenovo laptop that is about 14 inches and this fits perfectly. There is an extra attachment that actually hooks onto the back of my screen and when it's on, it does not move. Once I plug the screen into my laptop, it will automatically connect itself, especially once it's powered on. Having this extra screen really allows me to simply drag any window or other things that I normally have to minimize onto the other screen. The cord that connects the screen to my laptop is always secure as soon as it plugs in and even when I'm inserting a flashdrive and I accidentally touch it, the cord does not really move or cause the screen to glitch. The screen is just as bright and vibrant as my laptop. Rather than having a whole monitor, laptop or connecting this to an actual monitor, this screen is completely portable and convenient. Once done, it folds up and fits inside of my laptop bag. Really helps when I need that extra screen space."
Outdoor Enthusiast,"I have a Mr. Heater Buddy indoor heater for camping. Issue with it is that the heat doesn't distribute evenly across the tent, and so a fan helps. BUT, there's an issue with a fan: it needs a battery. Best option? Thermal fan. Attach that to the top of the Mr. Heater Buddy and let the thermal heat power the fan with no battery required! I got this to work by using a Dremel to cut a notch into the base and having it then attach to the Mr. Heater's protective, metal grille. Be sure to not place the fan too close to the heat source or you could melt away parts. You'll have to test how far back and how high to place the fan over the Mr. Heater."
Outdoor Enthusiast,"I have a similar water pump sprayer made by Futone -- same size, nearly the same design, and usability. It does not have a pressure relief valve, however. A relief valve can help take out the pressure so the sprayer can be stored away more effortlessly and without having to worry about pressure getting so high, that components or the bottle itself would explode or fail. On the other hand, not having a relief valve also helps ensure the pressure stays on longer. I use this for cleaning my standup paddle board at the beach and feet. Also use it for camping and washing hands, and the handle lock allows us to wash hands-free."
Outdoor Enthusiast,"I have a similar water pump sprayer made by Futone -- same size, nearly the same design, and usability. It does not have a pressure relief valve, however. A relief valve can help take out the pressure so the sprayer can be stored away more effortlessly and without having to worry about pressure getting so high, that components or the bottle itself would explode or fail. On the other hand, not having a relief valve also helps ensure the pressure stays on longer. I use this for cleaning my standup paddle board at the beach and feet. Also use it for camping and washing hands, and the handle lock allows us to wash hands-free."
Outdoor Enthusiast,"I have a similar water pump sprayer made by Futone -- same size, nearly the same design, and usability. The only difference: pressure relief valve that the Futone has. A relief valve can help take out the pressure so the sprayer can be stored away more effortlessly and without having to worry about pressure getting so high, that components or the bottle itself would explode or fail. With that said, the Futone has the valve implemented in such a way, pressure escapes the bottle even when not in use. That requires more hand pumping to reach the desired pressure level. With that said, I prefer this bottle without the relief valve because the pressure will stay and requires less pumping. I do not like that the handle lock takes some effort to put in place, but once it's working, it sprays well. What do I use this for? Cleaning my standup paddle board at the beach, my hands, feet. For camping. It's really convenient and my friends actually all asked which one I recommend. This one's not bad, but if the handle lock loosens up a bit, it'll be a good recommendation."
